City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Leirvik,NO,59.7798,5.5005,51.62,55,93,3.94,overcast clouds
306,Kozachi Laheri,UA,46.7037,32.9776,53.19,52,100,7.81,overcast clouds
307,Whakatane,NZ,-37.9585,176.9854,62.51,66,100,5.01,overcast clouds
308,Stornoway,GB,58.2093,-6.3865,52.93,64,20,8.05,few clouds
309,Kingaroy,AU,-26.5333,151.8333,64.56,99,30,5.75,scattered clouds
310,Guerrero Negro,MX,27.9769,-114.0611,55.98,80,0,9.04,clear sky
311,Aksarka,RU,66.5606,67.7975,24.46,79,100,21.21,overcast clouds
312,Amapa,BR,1.0,-52.0,82.96,58,90,4.68,overcast clouds
313,Diffa,NE,13.3154,12.6113,105.85,9,92,11.99,overcast clouds
314,Kalaleh,IR,37.3807,55.4916,70.16,56,0,4.61,clear sky
315,Isangel,VU,-19.55,169.2667,77.68,74,0,2.66,clear sky
316,Kirakira,SB,-10.4544,161.9205,80.13,81,53,2.89,broken clouds
317,San Patricio,US,28.017,-97.5169,62.46,95,100,13.44,overcast clouds
318,Montlucon,FR,46.3333,2.6,58.69,55,10,1.01,clear sky
319,Panalingaan,PH,8.7842,117.4231,78.22,82,6,6.49,clear sky
320,Goure,NE,13.9835,10.2704,105.19,6,49,8.21,scattered clouds
321,Gornopravdinsk,RU,60.05,69.9,14.29,70,23,4.74,few clouds
322,Freeport,US,40.6576,-73.5832,55.11,34,40,18.41,scattered clouds
323,Provideniya,RU,64.3833,-173.3,-15.32,98,83,4.0,broken clouds
324,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,85,100,8.9,light rain
325,Tezu,IN,27.9167,96.1667,70.16,57,2,5.19,clear sky
326,Letterkenny,IE,54.95,-7.7333,58.93,56,100,13.38,overcast clouds
327,Nchelenge,ZM,-9.3451,28.734,74.84,79,53,5.79,light rain
328,Borgarnes,IS,64.5383,-21.9206,48.25,81,100,12.15,overcast clouds
